Author
Federico Barrera Lemarchand
Laura Victoria Lescano
Julieta Ruiz
Nuria Caceres
Facundo Carrillo
Mariano Sigman
Joaquín Navajas
Mahasweta Chakraborti
Stefan Stanciulescu
Vladimir Filkov
Seth Frey
Dustin Wright
Jiaxin Pei
David Jurgens
Isabelle Augenstein
Rossano Schifanella
Wentao Xu
Bin Wang
Jianxun Chu
Miriam Hurtado Bodell
Anastasia Menshikova
Ranadheer Malla
Ana Julia Bonzanini Bernardi
Isabela Inês
Rodger Richer
Camila Tsuzuki
Beatrice Bonami
Nicolò Alessandro Girardini
Andrea Passerini
Ivano Bison
Fausto Giunchiglia
Christian Czymara
Frank van Tubergen
Daniele Gambetta
Kristian Tylén
Federico Zimmerman
Lucía Pedraza
Pablo Balenzuela
Jonathan Cohen
Leonardo Rosado
Marco Pangallo
Matthew Bramwell Bone
Magnus Resch
Albert-Laszlo Barabasi
Tara Sowrirajan
Ryan Whalen
Sourav Medya
Brian Uzzi
Luisa Carrer
Lorenzo De Masi
Vjosa Preniqi
Andreas Kaltenbrunner
Charalampos Saitis
Ole Teutloff
Otto Kässi
Eliza Stenzhorn
Douglas Richard Guilbeault
Marc Keuschnigg
Matthew Sharpe
Eddie Rossi
Marco Agnolon
Bruno Zamengo
Francesco Silvestri
Alice Battiston
Andrew Renninger
Blas Kolic
Manuel Tonneau
Haaya Naushan
Eaman Jahani
Karim Lasri
Niyati Malhotra
Victor Hugo Orozco-Olvera
Samuel Fraiberger
Ming-Hung Wang
Jia-Ru Song
Yu-Yao Tseng
Alina Herderich
Joshua Garland
Mirta Galesic
Ibrahim Farouq
Graham Tierney
D. Sunshine Hillygus
Christopher Bail
Yevgeniy Golovchenko
Aleksandra Urman
Mykola Makhortykh
Stefan Katz
Hugo Subtil
Arnault Chatelain
Felix Lennert
Etienne Ollion
Rubing Shen
Andreas Spitz
Jan Nikadon
Lejla Dzanko
Tomaso Erseghe
Caterina Suitner
Michał Olech
Paweł Jurek
Magdalena Formanowicz
Yuru Li
Szymon Talaga
Massimo Stella
Trevor James Swanson
Filipi Nascimento Silva
Nate Holers
Lena Mangold
Camille Roth
Ferdinand Le Coz
Guillaume Cabanac
Julien Figeac
Simon Walo
Samsun Knight
Yakov Bart
Matt Rocklage
Ziwen Chen
Amir Goldberg
Damiano Morando
Aidan Combs
Maximilan Schich
Xinwei Xu
Alessandro Lomi
Christoph Stadtfeld
Karthikeya Kaushik
Stefan Herzog
Bahador Bahrami
Ophelia Deroy
Zeyu Lyu
Zhemeng Xie
Takaharu Saito
Aguru Ishibashi
Mark Wittek
Katharina Burgdorf
Simone Santoni
Juergen Lerner
Yiwei Luo
Dan Jurafsky
Mohammad Amaan Haque
Taberez Ahmed Neyazi
Roney Reis
Angelo Brayner
Miguel Souza
Edward Abel
Sajid Siraj
Alexander Sobieska
Cheng Pan
Maximilian Hampel
Pia Gutsmiedl
Rosa Weidenspointner
Seong-Min Jun
Valentin Pauli
Matteo Cinelli
Carlo Valensise
Walter Quattrociocchi
Manju Bura
Tenzin Tamang
Amy Munz
Scott A Hale
Kobi Hackenburg
Fabián Aguirre-López
Miguel A González Casado
Angel Sánchez
Kangsan Lee
Anna Sokolova
Haiko Lietz
Johann Schaible
Maria Zens
Marcos Oliveira
Josefine Bohr Brask
Andreas Koher
Darren Croft
Ivan Dotu
